Ay,deprem
2009-11,10
2009-12,14
2010-01,13
2010-02,17
2010-03,38
2010-04,18
2010-05,15
2010-06,8
2010-07,6
2010-08,11
2010-09,6
2010-10,21
2010-11,21
2010-12,11
2011-01,13
2011-02,12
2011-03,41
2011-04,16
2011-05,52
2011-06,16
2011-07,22
2011-08,10
2011-09,8
2011-10,69
2011-11,42
2011-12,31
2012-01,17
2012-02,17
2012-03,19
2012-04,21
2012-05,25
2012-06,39
2012-07,15
2012-08,14
2012-09,13
2012-10,19
2012-11,13
2012-12,14
2013-01,27
2013-02,9
2013-03,16
2013-04,13
2013-05,13
2013-06,7
2013-07,10
2013-08,11
2013-09,9
2013-10,10
2013-11,19
2013-12,22
2014-01,9
2014-02,12
2014-03,11
2014-04,11
2014-05,55
2014-06,12
2014-07,17
2014-08,18
2014-09,13
2014-10,17
2014-11,15
2014-12,22
2015-01,16
2015-02,13
2015-03,17
2015-04,15
2015-05,14
2015-06,9
2015-07,28
2015-08,17
2015-09,14
2015-10,20
2015-11,22
2015-12,18
2016-01,23
2016-02,10
2016-03,13
2016-04,15
2016-05,12
2016-06,35
2016-07,17
2016-08,16
2016-09,24
2016-10,27
2016-11,15
2016-12,15
2017-01,13
2017-02,48
2017-03,34
2017-04,33
2017-05,32
2017-06,100
2017-07,78
2017-08,46
2017-09,27
2017-10,15
2017-11,35
