"Tarih","Faiz"
"04-01-2019","32.35"
"11-01-2019","32.75"
"18-01-2019","30.03"
"25-01-2019","28.12"
"01-02-2019","26.61"
"08-02-2019","26.90"
"15-02-2019","26.65"
"22-02-2019","25.51"
"01-03-2019","24.76"
"08-03-2019","23.06"
"15-03-2019","23.08"
"22-03-2019","23.21"
"29-03-2019","23.45"
"05-04-2019","24.83"
"12-04-2019","25.41"
"19-04-2019","26.29"
"26-04-2019","27.21"
"03-05-2019","27.82"
"10-05-2019","28.31"
"17-05-2019","29.25"
"24-05-2019","29.99"
"31-05-2019","29.74"
"07-06-2019","29.42"
"14-06-2019","29.66"
"21-06-2019","29.10"
"28-06-2019","28.53"
"05-07-2019","28.32"
"12-07-2019","27.62"
"19-07-2019","26.90"
"26-07-2019","26.78"
"02-08-2019","24.84"
"09-08-2019","22.65"
"16-08-2019","22.88"
"23-08-2019","22.69"
"30-08-2019","22.38"
"06-09-2019","21.96"
"13-09-2019","21.55"
"20-09-2019","18.54"
"27-09-2019","18.64"
"04-10-2019","18.42"
"11-10-2019","18.33"
"18-10-2019","18.26"
"25-10-2019","18.36"
"01-11-2019","17.78"
"08-11-2019","17.15"
"15-11-2019","17.03"
"22-11-2019","16.58"
"29-11-2019","16.39"
"06-12-2019","16.48"
"13-12-2019","16.38"
"20-12-2019","15.84"
"27-12-2019","15.23"
