Tarih;TP MK KUL YTL
2013-01;95,33
2013-02;93,30
2013-03;92,90
2013-04;87,02
2013-05;83,96
2013-06;81,32
2013-07;80,32
2013-08;85,53
2013-09;87,85
2013-10;84,03
2013-11;83,49
2013-12;81,85
2014-01;89,62
2014-02;92,30
2014-03;95,12
2014-04;89,35
2014-05;86,70
2014-06;88,10
2014-07;89,57
2014-08;90,02
2014-09;88,11
2014-10;88,11
2014-11;84,88
2014-12;88,92
2015-01;93,79
2015-02;97,32
2015-03;98,77
2015-04;102,37
2015-05;101,73
2015-06;102,15
2015-07;98,32
2015-08;103,61
2015-09;108,95
2015-10;108,67
2015-11;100,12
2015-12;100,78
2016-01;106,48
2016-02;114,18
2016-03;115,80
2016-04;113,37
2016-05;120,42
2016-06;120,18
2016-07;126,48
2016-08;127,92
2016-09;126,85
2016-10;125,51
2016-11;132,20
2016-12;130,50
2017-01;144,58
2017-02;145,68
2017-03;145,55
2017-04;150,00
2017-05;143,42
2017-06;143,01
2017-07;142,27
2017-08;145,30
2017-09;147,42
2017-10;151,76
2017-11;160,43
2017-12;158,48
2018-01;162,09
2018-02;162,66
2018-03;166,25
2018-04;174,69
2018-05;187,22
2018-06;190,51
2018-07;191,64
2018-08;233,55
2018-09;242,19
2018-10;231,22
2018-11;212,87
2018-12;216,50
2019-01;225,32
2019-02;224,94
2019-03;231,86
2019-04;239,39
2019-05;250,82
2019-06;259,50
2019-07;259,37
2019-08;267,59
2019-09;277,11
2019-10;280,10
2019-11;274,29
2019-12;279,74
2020-01;297,91
2020-02;315,32
2020-03;330,65
2020-04;372,91
2020-05;386,81
2020-06;382,84
2020-07;413,81
2020-08;471,63
2020-09;467,61
2020-10;488,86
2020-11;478,84
;
;
;
;
;
;
