Date;TP TG2 Y01
2013-01;91,52
2013-02;91,76
2013-03;92,06
2013-04;92,71
2013-05;95,53
2013-06;94,70
2013-07;96,54
2013-08;95,29
2013-09;91,43
2013-10;93,34
2013-11;96,78
2013-12;94,16
2014-01;91,54
2014-02;89,21
2014-03;92,43
2014-04;97,37
2014-05;95,11
2014-06;93,50
2014-07;93,73
2014-08;93,65
2014-09;94,02
2014-10;91,43
2014-11;90,87
2014-12;90,15
2015-01;89,35
2015-02;88,80
2015-03;86,49
2015-04;87,42
2015-05;86,80
2015-06;89,63
2015-07;88,24
2015-08;85,20
2015-09;82,15
2015-10;86,04
2015-11;95,15
2015-12;93,34
2016-01;91,95
2016-02;89,68
2016-03;89,87
2016-04;91,25
2016-05;91,70
2016-06;92,01
2016-07;89,66
2016-08;95,17
2016-09;94,78
2016-10;95,02
2016-11;91,41
2016-12;87,01
2017-01;88,39
2017-02;87,63
2017-03;89,89
2017-04;91,95
2017-05;94,22
2017-06;92,67
2017-07;93,21
2017-08;93,49
2017-09;92,00
2017-10;89,60
2017-11;87,35
2017-12;87,81
2018-01;92,38
2018-02;92,97
2018-03;92,28
2018-04;91,65
2018-05;90,95
2018-06;91,05
2018-07;92,92
2018-08;88,70
2018-09;81,15
2018-10;78,42
2018-11;80,95
2018-12;79,66
2019-01;80,11
2019-02;78,79
2019-03;81,10
2019-04;83,61
2019-05;77,05
2019-06;80,09
2019-07;78,94
2019-08;79,60
2019-09;77,64
2019-10;78,17
2019-11;81,24
2019-12;80,49
2020-01;81,12
2020-02;79,29
2020-03;80,98
2020-04;78,18
2020-05;82,85
2020-06;82,98
2020-07;82,82
2020-08;79,77
2020-09;81,91
2020-10;81,54
2020-11;79,98
;
;
;
;
;
;
