Date;TP AC2 TOP A
2013-01;4.238,00
2013-02;4.310,00
2013-03;4.538,00
2013-04;4.576,00
2013-05;4.475,00
2013-06;4.000,00
2013-07;4.064,00
2013-08;3.082,00
2013-09;4.061,00
2013-10;3.533,00
2013-11;4.715,00
2013-12;4.351,00
2014-01;5.916,00
2014-02;4.771,00
2014-03;5.026,00
2014-04;4.959,00
2014-05;4.768,00
2014-06;4.851,00
2014-07;4.394,00
2014-08;4.067,00
2014-09;5.206,00
2014-10;4.398,00
2014-11;4.974,00
2014-12;5.386,00
2015-01;6.471,00
2015-02;5.509,00
2015-03;6.092,00
2015-04;6.022,00
2015-05;5.635,00
2015-06;5.896,00
2015-07;4.760,00
2015-08;5.027,00
2015-09;5.275,00
2015-10;5.201,00
2015-11;5.519,00
2015-12;6.215,00
2016-01;6.894,00
2016-02;6.364,00
2016-03;7.117,00
2016-04;5.860,00
2016-05;5.422,00
2016-06;5.571,00
2016-07;3.136,00
2016-08;4.533,00
2016-09;3.745,00
2016-10;5.362,00
2016-11;5.592,00
2016-12;4.885,00
2017-01;6.275,00
2017-02;5.617,00
2017-03;6.146,00
2017-04;6.446,00
2017-05;6.250,00
2017-06;6.039,00
2017-07;5.269,00
2017-08;6.674,00
2017-09;5.105,00
2017-10;6.992,00
2017-11;6.971,00
2017-12;5.998,00
2018-01;9.631,00
2018-02;7.167,00
2018-03;7.580,00
2018-04;8.563,00
2018-05;8.297,00
2018-06;5.599,00
2018-07;6.871,00
2018-08;5.536,00
2018-09;6.394,00
2018-10;7.160,00
2018-11;7.110,00
2018-12;6.441,00
2019-01;8.367,00
2019-02;6.772,00
2019-03;7.151,00
2019-04;6.789,00
2019-05;6.798,00
2019-06;4.641,00
2019-07;7.301,00
2019-08;5.390,00
2019-09;7.805,00
2019-10;8.464,00
2019-11;7.833,00
2019-12;7.952,00
2020-01;10.591,00
2020-02;9.287,00
2020-03;8.425,00
2020-04;2.878,00
2020-05;3.479,00
2020-06;9.719,00
2020-07;10.394,00
2020-08;9.496,00
2020-09;10.764,00
2020-10;10.419,00
2020-11;8.782,00
;
;
;
;
;
;
